projectid;CURRENT.DATE;simulationid;TSUM;MaxLAI;Yield;AboveGroundBiomass
TestProject;29.07.1992;TestProject_00__TESTSIMULATION;1339.7019444444438;4.6435739623845445;807.9830742626048;1678.864660460607
TestProject;29.07.1993;TestProject_00__TESTSIMULATION;1334.7795138888885;5.118075284985106;882.2671626366391;1830.9557965460199
TestProject;27.07.1994;TestProject_00__TESTSIMULATION;1349.214444444445;5.813300115312219;406.7860318801743;1480.8155160361734
TestProject;30.07.1995;TestProject_00__TESTSIMULATION;1337.0309722222219;5.839224432950572;830.0407238502767;1936.2121838393587
TestProject;31.07.1996;TestProject_00__TESTSIMULATION;1335.4016666666666;3.4368699115692443;769.8589642615219;1489.4800536604557
TestProject;02.08.1997;TestProject_00__TESTSIMULATION;1340.697638888888;5.612260322782388;884.3014938881643;2012.586930140332
TestProject;28.07.1998;TestProject_00__TESTSIMULATION;1349.9495833333342;5.895327995798281;831.3960505999177;2029.235954709362
TestProject;25.07.1999;TestProject_00__TESTSIMULATION;1334.1419444444443;5.0582422071506965;844.2303924700532;1796.4278545431778
TestProject;22.07.2000;TestProject_00__TESTSIMULATION;1344.758263888889;5.379998143347806;899.507965410612;2029.0958121057774
TestProject;26.07.2001;TestProject_00__TESTSIMULATION;1333.9493055555556;6.4901742793662445;874.2265680544997;2239.526324033768
