projectid;CURRENT.DATE;simulationid;TSUM;MaxLAI;Yield;AboveGroundBiomass
TestProject;29.07.1992;TestProject_00__TESTSIMULATION;1339.7019444444438;4.6435736190768395;807.98302026219;1678.8644287917782
TestProject;29.07.1993;TestProject_00__TESTSIMULATION;1334.7795138888885;5.118066116871461;882.2657981290027;1830.9499649196764
TestProject;27.07.1994;TestProject_00__TESTSIMULATION;1349.214444444445;5.812595895245037;408.92339486913227;1484.0045805111813
TestProject;30.07.1995;TestProject_00__TESTSIMULATION;1337.0309722222219;5.83776971355935;829.9851113634757;1935.6845206898768
TestProject;31.07.1996;TestProject_00__TESTSIMULATION;1335.4016666666666;3.436869912620434;769.8589645370921;1489.4800541528264
TestProject;02.08.1997;TestProject_00__TESTSIMULATION;1340.697638888888;5.61226032278238;884.3014938881635;2012.5869301403268
TestProject;28.07.1998;TestProject_00__TESTSIMULATION;1349.9495833333342;5.895038996750866;832.2411202723216;2029.9494436903692
TestProject;25.07.1999;TestProject_00__TESTSIMULATION;1334.1419444444443;5.0582422071506965;844.2303924700532;1796.4278545431778
TestProject;22.07.2000;TestProject_00__TESTSIMULATION;1344.758263888889;5.379998143282064;899.5079653799767;2029.0958120155667
TestProject;26.07.2001;TestProject_00__TESTSIMULATION;1333.9493055555556;6.4901742793662445;874.2265680544997;2239.526324033768
