projectid;CURRENT.DATE;simulationid;TSUM;MaxLAI;Yield;AboveGroundBiomass
TestProject;29.07.1992;TestProject_00__TESTSIMULATION;1339.7019444444438;4.6435736190768395;807.98302026219;1678.8644287917782
TestProject;29.07.1993;TestProject_00__TESTSIMULATION;1334.7795138888885;5.117969340148927;882.2652734897848;1830.9284615601828
TestProject;27.07.1994;TestProject_00__TESTSIMULATION;1349.214444444445;5.609602787490539;781.2512165671285;1921.7249566293283
TestProject;30.07.1995;TestProject_00__TESTSIMULATION;1337.0309722222219;5.785313838064254;827.4629256226151;1914.3923291441097
TestProject;31.07.1996;TestProject_00__TESTSIMULATION;1335.4016666666666;3.395112700629334;764.359515916438;1477.9683692501699
TestProject;02.08.1997;TestProject_00__TESTSIMULATION;1340.697638888888;5.61226032278238;884.3014938881635;2012.5869301403268
TestProject;28.07.1998;TestProject_00__TESTSIMULATION;1349.9495833333342;5.86990732952568;838.6911198770877;2021.2588099415307
TestProject;25.07.1999;TestProject_00__TESTSIMULATION;1334.1419444444443;5.057930691942637;844.2150831809657;1796.350504331946
TestProject;22.07.2000;TestProject_00__TESTSIMULATION;1344.758263888889;5.379998143282064;899.5079653799745;2029.0958120155615
TestProject;26.07.2001;TestProject_00__TESTSIMULATION;1333.9493055555556;6.490174278668365;874.2265680470101;2239.5263237162117
