projectid;CURRENT.DATE;simulationid;TSUM;MaxLAI;Yield;AboveGroundBiomass
TestProject;29.07.1992;TestProject_00__TESTSIMULATION;1339.7019444444438;4.643573620582497;807.9830204831143;1678.8644297780068
TestProject;29.07.1993;TestProject_00__TESTSIMULATION;1334.7795138888885;5.1181044452026745;859.4749651025859;1808.1701637545489
TestProject;27.07.1994;TestProject_00__TESTSIMULATION;1349.214444444445;5.551726791173273;209.22742236477643;1028.4953258703315
TestProject;30.07.1995;TestProject_00__TESTSIMULATION;1337.0309722222219;5.919033962901751;832.0876461616996;1960.5318160986494
TestProject;31.07.1996;TestProject_00__TESTSIMULATION;1335.4016666666666;3.438124847694576;770.051535797419;1489.8914065097242
TestProject;02.08.1997;TestProject_00__TESTSIMULATION;1340.697638888888;5.612260322782396;854.2427720378206;1982.5282082899898
TestProject;28.07.1998;TestProject_00__TESTSIMULATION;1349.9495833333342;5.9786135681282975;610.3528278516605;1821.4771224189487
TestProject;25.07.1999;TestProject_00__TESTSIMULATION;1334.1419444444443;5.0582422071506965;844.2303924700532;1796.4278545431778
TestProject;22.07.2000;TestProject_00__TESTSIMULATION;1344.758263888889;5.381520504298813;899.5673936051492;2029.6133283593144
TestProject;26.07.2001;TestProject_00__TESTSIMULATION;1333.9493055555556;6.4901742793662445;874.2265680544997;2239.526324033768
