projectid;CURRENT.DATE;simulationid;TSUM;MaxLAI;Yield;AboveGroundBiomass
TestProject;29.07.1992;TestProject_00__TESTSIMULATION;1339.7019444444438;4.643572622430482;807.9828655765956;1678.8637628691986
TestProject;29.07.1993;TestProject_00__TESTSIMULATION;1334.7795138888885;5.1180469126667125;882.2640890121119;1830.9406944369236
TestProject;27.07.1994;TestProject_00__TESTSIMULATION;1349.214444444445;5.7609259998632;482.17497243522274;1633.7297376334113
TestProject;30.07.1995;TestProject_00__TESTSIMULATION;1337.0309722222219;5.82101901427547;829.2757042008781;1929.287779050695
TestProject;31.07.1996;TestProject_00__TESTSIMULATION;1335.4016666666666;3.436869913320552;769.8589647230878;1489.4800544841687
TestProject;02.08.1997;TestProject_00__TESTSIMULATION;1340.697638888888;5.612260322782432;884.3014938881696;2012.5869301403613
TestProject;28.07.1998;TestProject_00__TESTSIMULATION;1349.9495833333342;5.879789927344347;840.494931007295;2029.7377510969432
TestProject;25.07.1999;TestProject_00__TESTSIMULATION;1334.1419444444443;5.0582422071506965;844.2303924700532;1796.4278545431778
TestProject;22.07.2000;TestProject_00__TESTSIMULATION;1344.758263888889;5.379998143080103;899.5079652858643;2029.095811738432
TestProject;26.07.2001;TestProject_00__TESTSIMULATION;1333.9493055555556;6.4901742793662445;874.2265680544997;2239.526324033768
