projectid;CURRENT.DATE;simulationid;TSUM;MaxLAI;Yield;AboveGroundBiomass
TestProject;29.07.1992;TestProject_00__TESTSIMULATION;1339.7019444444438;4.643663645594413;807.9970314988392;1678.9246742013006
TestProject;29.07.1993;TestProject_00__TESTSIMULATION;1334.7795138888885;5.118648741449947;816.5566954809965;1765.513264457557
TestProject;27.07.1994;TestProject_00__TESTSIMULATION;1349.214444444445;5.297061222503947;154.1025084983406;915.3705708725887
TestProject;30.07.1995;TestProject_00__TESTSIMULATION;1337.0309722222219;5.955205801461675;790.3981388227302;1928.1106511731496
TestProject;31.07.1996;TestProject_00__TESTSIMULATION;1335.4016666666666;3.4407971659691023;770.4671395120334;1490.7797783184928
TestProject;02.08.1997;TestProject_00__TESTSIMULATION;1340.697638888888;5.612662742692773;814.4821688331293;1942.907990597772
TestProject;28.07.1998;TestProject_00__TESTSIMULATION;1349.9495833333342;6.006070982002025;564.6535517259081;1746.574233463327
TestProject;25.07.1999;TestProject_00__TESTSIMULATION;1334.1419444444443;5.05824218687074;844.2303735969149;1796.4277746782752
TestProject;22.07.2000;TestProject_00__TESTSIMULATION;1344.758263888889;5.385435735787251;899.7199283035077;2030.960464511643
TestProject;26.07.2001;TestProject_00__TESTSIMULATION;1333.9493055555556;6.490174279366245;874.2265680545006;2239.526324033771
